"No.","Time","Source","Src Port","Destination","Des Port","Protocol","Length","Info"
"20469","2023-09-10 18:19:39.620964","10.0.0.112","8080","14.0.0.120","37204","TCP","66","8080  >  37204 [ACK] Seq=2148 Ack=308 Win=64896 Len=0 TSval=3538277070 TSecr=429638118"
"20470","2023-09-10 18:19:39.621149","10.0.0.112","8080","14.0.0.120","37162","TCP","66","8080  >  37162 [FIN, ACK] Seq=49333 Ack=605 Win=64640 Len=0 TSval=3538277070 TSecr=429618105"
"20471","2023-09-10 18:19:39.621346","14.0.0.120","37162","10.0.0.112","8080","TCP","66","37162  >  8080 [FIN, ACK] Seq=605 Ack=49334 Win=101504 Len=0 TSval=429638118 TSecr=3538277070"
"20472","2023-09-10 18:19:39.621517","10.0.0.112","8080","14.0.0.120","37162","TCP","66","8080  >  37162 [ACK] Seq=49334 Ack=606 Win=64640 Len=0 TSval=3538277070 TSecr=429638118"
"20473","2023-09-10 18:19:41.885162","14.0.0.120","37736","10.0.0.112","8080","TCP","74","37736  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=429640382 TSecr=0 WS=128"
"20474","2023-09-10 18:19:41.885382","10.0.0.112","8080","14.0.0.120","37736","TCP","74","8080  >  37736 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3538279334 TSecr=429640382 WS=128"
"20475","2023-09-10 18:19:41.885552","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=429640382 TSecr=3538279334"
"20476","2023-09-10 18:19:41.885687","14.0.0.120","37736","10.0.0.112","8080","HTTP","413","GET /examples HTTP/1.1 "
"20477","2023-09-10 18:19:41.885692","10.0.0.112","8080","14.0.0.120","37736","TCP","66","8080  >  37736 [ACK] Seq=1 Ack=348 Win=64896 Len=0 TSval=3538279335 TSecr=429640382"
"20478","2023-09-10 18:19:41.887619","10.0.0.112","8080","14.0.0.120","37736","HTTP","207","HTTP/1.1 302 Found  [Last Chunk]"
"20479","2023-09-10 18:19:41.887625","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=348 Ack=142 Win=64128 Len=0 TSval=429640384 TSecr=3538279336"
"20480","2023-09-10 18:19:41.890868","14.0.0.120","37736","10.0.0.112","8080","HTTP","414","GET /examples/ HTTP/1.1 "
"20481","2023-09-10 18:19:41.891864","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=142 Ack=696 Win=64640 Len=1448 TSval=3538279341 TSecr=429640387 [TCP PDU reassembled in 20482]"
"20482","2023-09-10 18:19:41.891875","10.0.0.112","8080","14.0.0.120","37736","HTTP","99","HTTP/1.1 200 OK  (text/html)"
"20483","2023-09-10 18:19:41.892171","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=696 Ack=1623 Win=64128 Len=0 TSval=429640389 TSecr=3538279341"
"20484","2023-09-10 18:19:43.519260","14.0.0.120","37736","10.0.0.112","8080","HTTP","465","GET /examples/servlets HTTP/1.1 "
"20485","2023-09-10 18:19:43.520450","10.0.0.112","8080","14.0.0.120","37736","HTTP","202","HTTP/1.1 302 Found "
"20486","2023-09-10 18:19:43.523811","14.0.0.120","37736","10.0.0.112","8080","HTTP","466","GET /examples/servlets/ HTTP/1.1 "
"20487","2023-09-10 18:19:43.524837","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=1759 Ack=1495 Win=64128 Len=1448 TSval=3538280974 TSecr=429642020 [TCP PDU reassembled in 20492]"
"20488","2023-09-10 18:19:43.524843","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=3207 Ack=1495 Win=64128 Len=1448 TSval=3538280974 TSecr=429642020 [TCP PDU reassembled in 20492]"
"20489","2023-09-10 18:19:43.525027","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=4655 Ack=1495 Win=64128 Len=1448 TSval=3538280974 TSecr=429642020 [TCP PDU reassembled in 20492]"
"20490","2023-09-10 18:19:43.525031","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=6103 Ack=1495 Win=64128 Len=1448 TSval=3538280974 TSecr=429642020 [TCP PDU reassembled in 20492]"
"20491","2023-09-10 18:19:43.525035","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=1495 Ack=4655 Win=64128 Len=0 TSval=429642022 TSecr=3538280974"
"20492","2023-09-10 18:19:43.525036","10.0.0.112","8080","14.0.0.120","37736","HTTP","1461","HTTP/1.1 200 OK  (text/html)"
"20493","2023-09-10 18:19:43.525038","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=1495 Ack=7551 Win=64128 Len=0 TSval=429642022 TSecr=3538280974"
"20494","2023-09-10 18:19:43.562426","14.0.0.120","37736","10.0.0.112","8080","HTTP","403","GET /examples/servlets/images/execute.gif HTTP/1.1 "
"20495","2023-09-10 18:19:43.562544","14.0.0.120","41388","10.0.0.112","8080","TCP","74","41388  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=429642059 TSecr=0 WS=128"
"20496","2023-09-10 18:19:43.562776","14.0.0.120","41404","10.0.0.112","8080","TCP","74","41404  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=429642059 TSecr=0 WS=128"
"20497","2023-09-10 18:19:43.563046","10.0.0.112","8080","14.0.0.120","41388","TCP","74","8080  >  41388 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3538281012 TSecr=429642059 WS=128"
"20498","2023-09-10 18:19:43.563050","10.0.0.112","8080","14.0.0.120","41404","TCP","74","8080  >  41404 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3538281012 TSecr=429642059 WS=128"
"20499","2023-09-10 18:19:43.563175","14.0.0.120","41388","10.0.0.112","8080","TCP","66","41388  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=429642060 TSecr=3538281012"
"20500","2023-09-10 18:19:43.563178","14.0.0.120","41404","10.0.0.112","8080","TCP","66","41404  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=429642060 TSecr=3538281012"
"20501","2023-09-10 18:19:43.563387","14.0.0.120","41388","10.0.0.112","8080","HTTP","400","GET /examples/servlets/images/code.gif HTTP/1.1 "
"20502","2023-09-10 18:19:43.563505","10.0.0.112","8080","14.0.0.120","41388","TCP","66","8080  >  41388 [ACK] Seq=1 Ack=335 Win=64896 Len=0 TSval=3538281012 TSecr=429642060"
"20503","2023-09-10 18:19:43.563508","14.0.0.120","41404","10.0.0.112","8080","HTTP","402","GET /examples/servlets/images/return.gif HTTP/1.1 "
"20504","2023-09-10 18:19:43.563510","10.0.0.112","8080","14.0.0.120","41404","TCP","66","8080  >  41404 [ACK] Seq=1 Ack=337 Win=64896 Len=0 TSval=3538281012 TSecr=429642060"
"20505","2023-09-10 18:19:43.565920","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=8946 Ack=1832 Win=64128 Len=1448 TSval=3538281015 TSecr=429642059 [TCP PDU reassembled in 20506]"
"20506","2023-09-10 18:19:43.565934","10.0.0.112","8080","14.0.0.120","37736","HTTP","88","HTTP/1.1 200 OK  (GIF89a)"
"20507","2023-09-10 18:19:43.566035","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=1832 Ack=10416 Win=64128 Len=0 TSval=429642063 TSecr=3538281015"
"20508","2023-09-10 18:19:43.567521","10.0.0.112","8080","14.0.0.120","41388","HTTP","584","HTTP/1.1 200 OK  (GIF89a)"
"20509","2023-09-10 18:19:43.567529","14.0.0.120","41388","10.0.0.112","8080","TCP","66","41388  >  8080 [ACK] Seq=335 Ack=519 Win=64128 Len=0 TSval=429642064 TSecr=3538281016"
"20510","2023-09-10 18:19:43.568394","10.0.0.112","8080","14.0.0.120","41404","TCP","1514","8080  >  41404 [ACK] Seq=1 Ack=337 Win=64896 Len=1448 TSval=3538281017 TSecr=429642060 [TCP PDU reassembled in 20511]"
"20511","2023-09-10 18:19:43.568400","10.0.0.112","8080","14.0.0.120","41404","HTTP","77","HTTP/1.1 200 OK  (GIF89a)"
"20512","2023-09-10 18:19:43.568401","14.0.0.120","41404","10.0.0.112","8080","TCP","66","41404  >  8080 [ACK] Seq=337 Ack=1460 Win=64000 Len=0 TSval=429642065 TSecr=3538281017"
